Title,Authors,Year,Journal,Citations,URL
History of artificial intelligence,"['A Benko', 'CS Lányi']",2009,N/A,128,N/A
The handbook of artificial intelligence: Volume 3,"['PR Cohen', 'EA Feigenbaum']",2014,N/A,950,N/A
Human-versus artificial intelligence,"['JEH Korteling', 'GC van de Boer-Visschedijk']",2021,N/A,372,https://www.frontiersin.org/articles/10.3389/frai.2021.622364/full
Study on artificial intelligence: The state of the art and future prospects,"['C Zhang', 'Y Lu']",2021,N/A,1044,N/A
The coming of age of artificial intelligence in medicine,"['VL Patel', 'EH Shortliffe', 'M Stefanelli', 'P Szolovits']",2009,N/A,738,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752210/
A review of artificial intelligence,"['ES Brunette', 'RC Flemmer']",2009,N/A,166,https://www.researchgate.net/profile/Claire-Flemmer/publication/220774315_A_review_of_artificial_intelligence/links/00b7d5331df59bcbf4000000/A-review-of-artificial-intelligence.pdf
Readings in distributed artificial intelligence,"['AH Bond', 'L Gasser']",2014,N/A,2038,N/A
Can artificial intelligence be decolonized?,['R Adams'],2021,N/A,156,N/A
Evolving artificial intelligence.,['DB Fogel'],1993,N/A,547,N/A
Artificial intelligence basics,"['T Taulli', 'M Oni']",2019,N/A,209,N/A
Explainability and artificial intelligence in medicine,['S Reddy'],2022,N/A,130,https://www.thelancet.com/journals/landig/article/PIIS2589-7500(22)00029-2/fulltext
Artificial intelligence and the implementation challenge,"['J Shaw', 'F Rudzicz', 'T Jamieson', 'A Goldfarb']",2019,N/A,347,https://www.jmir.org/2019/7/e13659/
Artificial intelligence meets natural stupidity,['D McDermott'],1976,N/A,541,https://dl.acm.org/doi/pdf/10.1145/1045339.1045340
Artificial intelligence with uncertainty,"['D Li', 'Y Du']",2017,N/A,1218,N/A
Artificial intelligence: a new synthesis,['NJ Nilsson'],1998,N/A,3002,N/A
Assessment in the age of artificial intelligence,"['Z Swiecki', 'H Khosravi', 'G Chen']",2022,N/A,227,https://www.sciencedirect.com/science/article/pii/S2666920X22000303
Artificial Intelligence and its Models,"['SS Gadde', 'VD Kalli']",2021,N/A,110,https://www.researchgate.net/profile/Sai-Gadde-2/publication/349547540_Artificial_Intelligence_and_its_Models/links/6035c6b2299bf1cc26e7ec1f/Artificial-Intelligence-and-its-Models.pdf
