Title,Authors,Year,Journal,Citations,URL
Neural networks in materials science,['B Hkdh'],1999,N/A,940,https://www.jstage.jst.go.jp/article/isijinternational1989/39/10/39_10_966/_pdf
Evolving neural networks,"['DB Fogel', 'LJ Fogel', 'VW Porto']",1990,N/A,444,http://spider.sci.brooklyn.cuny.edu/~parsons/courses/740-fall-2011/papers/fogel-fogel-porto-1990.pdf
Neural networks in a softcomputing framework,"['KL Du', 'MNS Swamy']",2006,N/A,437,https://www.researchgate.net/profile/Ke-Lin-Du/publication/264999973_Neural_Networks_in_a_Softcomputing_Framework/links/53fdd96f0cf22f21c2f85429/Neural-Networks-in-a-Softcomputing-Framework.pdf
Neural networks for control systems,['PJ Antsaklis'],1990,N/A,389,https://www3.nd.edu/~pantsakl/Publications/80-CSM90.pdf
Understanding neural networks; computer explorations,"['M Caudill', 'C Butler']",1992,N/A,376,N/A
Neural networks in chemistry,"['J Gasteiger', 'J Zupan']",1993,N/A,541,https://www.researchgate.net/profile/Jure-Zupan-3/publication/259046271_Neural_Networks_in_Chemistry/links/55112e3d0cf2ba844840ef29/Neural-Networks-in-Chemistry.pdf
On calibration of modern neural networks,"['C Guo', 'G Pleiss', 'Y Sun']",2017,N/A,6453,http://proceedings.mlr.press/v70/guo17a/guo17a.pdf
Artificial neural networks,['JJ Hopfield'],1988,N/A,767,https://www.bits-pilani.ac.in/wp-content/uploads/Hota-ML-BPN.pdf
Neural networks for optimization and signal processing,"['A Cochocki', 'R Unbehauen']",1993,N/A,2844,N/A
Neural networks. II. What are they and why is everybody so interested in them now?,"['PD Wasserman', 'T Schwartz']",1988,N/A,211,N/A
Introduction to convolutional neural networks,['J Wu'],2017,N/A,941,https://cs.nju.edu.cn/wujx/paper/CNN.pdf
Introduction to artificial neural network,"['AD Dongare', 'RR Kharde', 'AD Kachare']",2012,N/A,571,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=04d0b6952a4f0c7203577afc9476c2fcab2cba06
Models of neural networks I,"['E Domany', 'JL van Hemmen', 'K Schulten']",2012,N/A,220,N/A
An introduction to computing with neural nets,['RP Lippmann'],1988,N/A,12967,https://dl.acm.org/doi/pdf/10.1145/44571.44572
Using neural networks for data mining,"['MW Craven', 'JW Shavlik']",1997,N/A,445,https://www.academia.edu/download/53504285/nn7.pdf
Evolving artificial neural networks,['X Yao'],1999,N/A,3990,https://qai.narod.ru/Papers/yao_1999.pdf
Neural networks for pattern recognition,['CM Bishop'],1995,N/A,37649,https://www.academia.edu/download/55593223/_Christopher_M._Bishop__Neural_Networks_for_Patterb-ok.org.pdf
Neural networks and related methods for classification,['BD Ripley'],1994,N/A,1027,N/A
Neural networks at work,['D Hammerstrom'],1993,N/A,402,N/A
Feed-forward neural networks,"['G Bebis', 'M Georgiopoulos']",1994,N/A,833,https://www.cse.unr.edu/~bebis/optimal_arch.pdf
Recurrent neural networks,['S Grossberg'],2013,N/A,277,http://scholarpedia.org/article/Recurrent_neural_network
Guide to convolutional neural networks,"['HH Aghdam', 'EJ Heravi']",2017,N/A,512,N/A
Recent advances in convolutional neural networks,"['J Gu', 'Z Wang', 'J Kuen', 'L Ma', 'A Shahroudy', 'B Shuai']",2018,N/A,6740,https://arxiv.org/pdf/1512.07108
What can neural networks reason about?,"['K Xu', 'J Li', 'M Zhang', 'SS Du', 'K Kawarabayashi']",2019,N/A,298,https://arxiv.org/pdf/1905.13211
Towards evaluating the robustness of neural networks,"['N Carlini', 'D Wagner']",2017,N/A,10241,https://arxiv.org/pdf/1608.04644.pdf?source=post_page---------------------------
Artificial neural networks: an introduction,"['KL Priddy', 'PE Keller']",2005,N/A,1074,N/A
Neural networks as tools in construction,"['O Moselhi', 'T Hegazy', 'P Fazio']",1991,N/A,312,N/A
Working with neural networks,['D Hammerstrom'],1993,N/A,363,N/A
Approximation with artificial neural networks,['BC Csáji'],2001,N/A,983,https://www.researchgate.net/profile/Balazs-Csaji/publication/357888472_Approximation_with_Artificial_Neural_Networks/links/61e5b56c5779d35951b55282/Approximation-with-Artificial-Neural-Networks.pdf
Introduction neural networks in remote sensing,"['PM Atkinson', 'ARL Tatnall']",1997,N/A,1496,N/A
Qualitative analysis of neural networks,"['AN Michel', 'JA Farrell', 'W Porod']",1989,N/A,423,N/A
"A survey of convolutional neural networks: analysis, applications, and prospects","['Z Li', 'F Liu', 'W Yang', 'S Peng']",2021,N/A,3416,https://arxiv.org/pdf/2004.02806
Intriguing properties of neural networks,"['C Szegedy', 'W Zaremba', 'I Sutskever', 'J Bruna']",2013,N/A,17969,https://arxiv.org/pdf/1312.6199.pdf?source=post_page---------------------------
"Neural networks: applications in industry, business and science","['B Widrow', 'DE Rumelhart', 'MA Lehr']",1994,N/A,852,N/A
Ensembling neural networks: many could be better than all,"['ZH Zhou', 'J Wu', 'W Tang']",2002,N/A,2757,https://www.sciencedirect.com/science/article/pii/S000437020200190X/pdf?md5=83359fd915cc8ad8896b11f4ed94d9b0&pid=1-s2.0-S000437020200190X-mainext.pdf
Neural networks and deep learning,['MA Nielsen'],2015,N/A,5733,https://www.ise.ncsu.edu/fuzzy-neural/wp-content/uploads/sites/9/2022/08/neuralnetworksanddeeplearning.pdf
The NeuroBayes neural network package,"['M Feindt', 'U Kerzel']",2006,N/A,762,https://www.zeuthen.desy.de/acat05/talks/Kerzel.Ulrich.2/kerzel-acat05-neurobayes.pdf
